2ndFlrSF,GarageArea,LotArea,TotalBsmtSF,YearBuilt
1281.0,628,26178,1210,1989
600.0,440,2368,765,1970
1141.0,779,11250,1128,2002
1347.0,840,16259,1249,2006
0.0,352,8593,907,1957
,440,2280,855,1976
0.0,540,7728,1106,1962
0.0,684,7340,858,1971
0.0,516,13651,2223,1973
0.0,672,10434,1005,1955
809.0,409,10832,712,1994
0.0,384,11200,1040,1965
0.0,461,9300,1268,1960
887.0,578,10207,874,2007
0.0,888,12328,1012,1976
0.0,439,39104,1385,1954
0.0,480,9855,1436,1956
0.0,839,10437,2109,1995
0.0,544,9808,1573,2002
0.0,820,12919,2330,2009
977.0,645,9375,1057,1997
0.0,431,2887,1291,1996
0.0,0,7207,858,1958
560.0,280,9060,560,1939
0.0,246,8400,290,1920
728.0,440,7844,672,1978
0.0,240,6305,920,1938
0.0,645,12095,1127,1964
0.0,525,3675,547,2005
0.0,0,9825,0,1965
689.0,441,11888,844,1916
1254.0,380,12168,965,1934
912.0,0,9400,912,1971
868.0,422,9303,872,1996
0.0,576,8872,912,1965
0.0,600,10200,1461,1988
448.0,216,6171,976,1925
0.0,397,10237,1316,2005
0.0,450,6120,768,1925
378.0,240,8160,756,1940
0.0,865,13501,1623,2006
660.0,400,7750,660,2003
966.0,538,28698,1013,1967
0.0,525,8700,1120,1963
0.0,756,8712,992,1957
546.0,0,1533,546,1970
978.0,704,10800,718,1890
0.0,576,9600,845,1949
1039.0,668,14598,894,2007
546.0,264,1890,672,1973
808.0,534,11952,808,1977
870.0,556,10000,1220,1995
0.0,487,12243,1484,1971
0.0,506,9246,1656,1973
406.0,210,3950,818,1926
1032.0,390,12224,992,2000
0.0,576,6120,832,1929
546.0,286,1974,546,1973
0.0,252,9286,1268,1977
834.0,550,10667,799,1996
0.0,502,10635,1657,2003
0.0,508,13125,1478,1997
0.0,306,8280,932,1950
0.0,526,10628,1277,1970
0.0,630,14572,1530,2004
0.0,484,9503,1024,1958
0.0,528,8740,840,1982
0.0,626,5001,1314,2007
571.0,868,8760,1391,2006
702.0,388,15384,788,2004
0.0,420,4426,848,2004
0.0,240,10200,672,1940
1152.0,252,9042,1152,1941
704.0,180,10410,660,1916
754.0,484,7472,725,1972
0.0,740,10402,1226,2009
1111.0,444,12205,832,1966
0.0,576,13072,1158,2004
0.0,480,11000,1154,1966
844.0,527,8924,880,1998
885.0,431,8000,773,1995
0.0,520,8777,0,1949
521.0,300,16466,816,1955
1479.0,1014,14100,728,1935
504.0,264,1953,483,1973
547.0,0,10106,644,1940
0.0,505,27650,585,1960
,440,2280,744,1999
0.0,908,14977,1976,2006
0.0,758,10206,1563,2007
539.0,288,5700,572,1926
651.0,270,7200,776,1931
0.0,452,13680,0,1955
880.0,706,20431,1848,2005
672.0,264,1680,630,1972
192.0,586,23595,1332,1979
468.0,680,17120,0,1959
0.0,430,8536,1125,2006
600.0,480,3180,600,2005
842.0,520,8366,798,2004
904.0,525,10944,1223,1994
0.0,240,8000,972,1948
878.0,466,9828,1128,1995
,596,9571,1144,1956
0.0,288,6930,1062,1958
0.0,484,5500,926,1929
838.0,592,12011,1086,1998
0.0,240,10880,1164,1950
0.0,840,7350,952,1951
1215.0,0,5250,684,1872
0.0,540,21695,880,1988
691.0,672,10800,482,1905
0.0,480,11241,1004,1970
456.0,305,4712,747,1946
0.0,495,8731,915,1920
0.0,440,6911,1145,1924
0.0,445,5271,1453,1986
0.0,670,11423,1581,2001
0.0,825,10000,1588,2006
0.0,264,10382,588,1958
0.0,368,10659,1050,1961
0.0,432,10921,960,1965
454.0,280,7585,810,1948
0.0,462,9156,1489,1968
0.0,786,9416,1726,2007
720.0,484,11426,1362,2003
0.0,484,8049,1309,1990
1140.0,1069,16545,1284,1998
984.0,660,14054,879,2006
0.0,396,8445,768,1972
0.0,0,5000,0,1946
0.0,384,9200,1136,1965
0.0,405,4500,1237,1998
0.0,288,7800,912,1964
936.0,264,7590,864,1962
720.0,240,8400,720,1939
526.0,0,8410,658,1910
925.0,308,10120,925,1910
0.0,624,7388,1063,1959
0.0,576,12090,1422,1981
0.0,576,25000,1632,1967
0.0,451,9750,1630,2000
0.0,0,8470,1013,1915
0.0,420,7200,0,1949
806.0,216,6858,806,1915
653.0,576,7804,1122,1928
0.0,418,9600,1416,1953
1092.0,868,9588,1482,2007
764.0,520,13515,764,1919
0.0,520,9020,1248,1964
0.0,440,4928,958,1976
795.0,370,13053,833,1923
0.0,490,9991,1281,1976
0.0,400,9248,1158,1992
,220,8741,735,1945
0.0,288,7150,892,1967
0.0,240,7200,788,1940
0.0,0,17217,1140,2006
813.0,483,7056,780,1963
912.0,551,12046,848,1976
981.0,812,11003,1017,2008
0.0,216,5400,691,1920
,676,9000,768,2008
639.0,325,9525,994,1954
776.0,442,7500,994,1999
884.0,543,8158,884,2003
1796.0,807,35760,1930,1995
,403,11200,1298,1985
0.0,484,15602,1501,1959
0.0,0,1533,630,1970
0.0,440,6000,1103,1925
319.0,384,8712,859,1900
0.0,440,4800,1196,1916
,529,8640,1372,2007
0.0,296,9150,1099,1962
0.0,626,8500,1422,2004
874.0,501,53107,1580,1992
0.0,440,8546,1121,2003
1330.0,852,9591,1143,2004
0.0,576,7420,1057,1962
0.0,602,9101,1097,1978
1106.0,671,11764,1152,1999
0.0,746,13214,2002,2008
714.0,440,11616,672,1978
871.0,1043,10574,1082,2005
0.0,462,5395,1337,1993
1288.0,648,11000,969,2000
0.0,826,10637,1705,2007
0.0,484,13400,1024,1966
0.0,660,3684,1373,2007
0.0,567,17500,1902,1959
1216.0,693,11170,1216,1990
0.0,528,7018,1086,1979
0.0,460,9750,1054,1969
1336.0,676,12203,1225,1998
0.0,288,6173,876,1967
,484,13005,845,1980
703.0,299,10900,689,1977
0.0,576,11782,1109,1961
768.0,240,7200,1208,1950
208.0,208,6000,862,1929
611.0,502,6155,611,1920
1286.0,429,8738,975,1999
668.0,250,8500,649,1920
0.0,928,12085,1734,2007
0.0,312,8760,1194,1959
540.0,720,12665,876,1915
0.0,354,13284,1383,1954
1001.0,871,6270,1001,1949
0.0,474,9158,1496,2007
620.0,660,10998,984,1941
0.0,504,5232,680,1925
755.0,476,9206,741,1985
0.0,840,10652,1494,2006
0.0,180,6180,960,1926
0.0,397,3182,1145,2005
742.0,0,6300,742,1914
0.0,525,14375,819,1958
581.0,686,10440,650,1904
1370.0,656,11198,1122,2005
0.0,528,5825,600,1926
989.0,583,9750,1108,1998
1538.0,884,40094,3138,2007
390.0,624,6000,698,1937
0.0,0,7879,720,1920
0.0,830,11932,1580,2007
0.0,0,7711,1440,1977
,540,8633,738,2005
0.0,570,8487,1500,2004
464.0,216,6000,884,1925
0.0,884,9230,864,1965
0.0,514,9500,1394,1963
832.0,484,9130,800,1966
0.0,336,8521,912,1967
1254.0,864,22420,1370,1918
0.0,349,13673,1140,1962
548.0,440,10440,440,1910
1178.0,440,10570,853,1932
728.0,429,15578,728,2006
0.0,660,6960,864,1970
739.0,380,2522,970,2004
855.0,528,8400,810,2001
1274.0,656,9900,1347,1993
,595,7226,798,2003
685.0,420,10615,978,1900
0.0,529,53227,1364,1954
0.0,504,9100,1728,1963
790.0,462,11218,1055,1992
831.0,440,9760,822,1964
0.0,776,11216,1489,2006
0.0,300,9100,864,1959
0.0,276,9937,1256,1965
0.0,816,6600,816,1982
918.0,492,13700,864,1965
1215.0,833,13125,1104,1991
0.0,461,8892,1065,1960
0.0,312,11340,1200,1923
0.0,632,6762,1187,2006
1349.0,642,12665,1094,2005
,527,10593,1720,1996
0.0,0,4388,672,1930
0.0,496,7153,1278,1991
0.0,450,7024,1090,2005
,420,12090,1141,1998
0.0,440,10356,969,1975
0.0,1248,18000,894,1935
,360,8960,1008,1927
979.0,492,7136,979,1946
0.0,895,9986,1795,2006
0.0,606,10159,1930,2009
0.0,439,10000,1176,1973
672.0,400,12155,672,1925
0.0,554,12274,1417,2008
0.0,338,15523,864,1972
495.0,200,9084,616,1941
790.0,420,9765,680,1993
0.0,440,10000,1116,1962
,288,7332,864,1959
0.0,498,8532,1297,1954
0.0,264,9600,1113,1950
0.0,577,10335,1490,1999
783.0,614,8640,756,2009
956.0,678,12552,991,2004
0.0,908,11146,1709,2006
0.0,440,8816,1010,1971
886.0,455,9920,1117,1996
0.0,388,3182,1266,2007
876.0,716,16056,1992,2005
1276.0,554,8795,952,2000
0.0,494,8773,1414,2004
785.0,471,8462,928,1994
741.0,434,11475,713,1975
430.0,528,7500,698,1920
0.0,358,9880,1096,1977
0.0,574,12640,1728,1976
762.0,711,46589,1629,1994
0.0,452,25095,1437,1968
530.0,400,13758,1156,1990
0.0,400,9587,856,2005
0.0,484,6442,1370,2006
0.0,480,17871,1680,1967
739.0,380,2522,970,2004
,264,1680,483,1971
901.0,216,7588,793,1920
1175.0,360,16560,952,1932
0.0,264,8414,1059,1963
0.0,533,8012,1604,1993
0.0,336,11988,1244,1957
0.0,252,11600,700,1922
623.0,480,2544,600,2005
0.0,612,10240,1686,1980
0.0,800,9520,1638,2007
0.0,264,10000,864,1961
858.0,639,9245,939,2006
0.0,462,9842,0,1962
873.0,839,10316,992,2000
0.0,308,8176,1056,1958
1174.0,820,13518,1926,2008
0.0,492,8471,506,1977
0.0,636,10084,1686,2004
709.0,413,11207,802,1997
0.0,246,7922,1057,1953
1044.0,560,11340,777,1885
806.0,786,13837,1204,1988
1523.0,594,12376,1673,1990
807.0,512,8750,880,1996
0.0,457,9790,1372,1967
0.0,437,3182,1346,2005
,648,9375,1053,2003
628.0,462,2160,600,1999
0.0,264,7758,999,1962
622.0,528,7740,622,1910
0.0,490,9020,1127,1966
0.0,702,11248,1626,2002
1218.0,853,14215,1158,2005
551.0,352,5000,540,1900
676.0,388,13869,794,1997
0.0,532,12182,1541,2005
0.0,0,12108,1440,1955
0.0,438,9590,868,2003
0.0,481,9549,1494,1995
,738,8834,1462,2004
523.0,186,7681,731,1921
1242.0,683,16226,1028,1998
850.0,540,9500,816,1964
703.0,504,5306,1064,1987
,550,6240,1324,2006
546.0,330,17503,912,1948
0.0,440,9317,1314,2006
0.0,529,8012,1575,1992
0.0,912,12898,1620,2007
684.0,304,11250,1104,1957
0.0,240,8400,814,1966
0.0,500,13175,1542,1978
677.0,492,2645,776,1999
875.0,225,8850,815,1916
0.0,576,14175,1188,1956
0.0,508,20781,1568,1968
0.0,0,5604,864,1925
576.0,336,2592,536,1976
1121.0,746,13474,700,1990
518.0,210,9906,686,1925
0.0,216,10800,656,1927
698.0,384,8730,698,1915
0.0,834,11394,1856,2010
551.0,789,10562,1582,2007
0.0,529,16635,1602,1977
672.0,280,1680,630,1971
702.0,393,7861,783,2002
0.0,352,12968,912,1962
,420,5000,1004,1947
304.0,576,8400,1181,1925
0.0,220,4608,747,1945
0.0,420,7200,0,1950
829.0,493,8935,831,2002
665.0,308,5000,1026,1924
0.0,720,7200,864,1950
0.0,264,7175,744,1984
829.0,564,12435,963,2001
862.0,474,2628,764,2003
0.0,472,9037,1476,2006
1818.0,870,18386,1470,1880
0.0,840,13173,1652,2006
0.0,350,9571,1276,1958
,271,9600,856,1950
472.0,0,10800,720,1949
0.0,504,9180,840,1983
,454,14364,1157,1988
0.0,392,7200,0,1955
883.0,532,11414,728,1910
688.0,336,2665,264,1976
684.0,216,3600,684,1910
765.0,379,5790,840,1915
0.0,900,12220,2006,2009
625.0,528,4251,625,2006
0.0,757,12461,1624,1994
0.0,360,7599,845,1982
0.0,418,10010,1389,1974
0.0,480,8520,968,1923
546.0,286,2001,546,1970
0.0,420,4435,848,2003
0.0,308,7931,1269,1960
0.0,288,11616,1092,1962
795.0,539,16659,795,1977
0.0,283,8475,952,1956
716.0,0,4456,736,1920
0.0,504,11625,1039,1965
0.0,412,4500,1204,1998
0.0,672,7819,1029,1976
0.0,701,14684,2158,1990
0.0,328,8385,985,1977
0.0,880,10655,3206,2003
600.0,216,6292,861,1928
0.0,484,7064,980,1977
1129.0,590,13346,1095,1992
602.0,180,10592,602,1923
626.0,432,19690,697,1966
1028.0,836,10800,1034,2007
0.0,0,6120,264,1936
0.0,840,9262,1573,2008
0.0,774,12444,1932,2008
0.0,404,7910,1075,1960
0.0,280,9819,882,1967
,786,12456,1700,2006
661.0,240,9000,636,1880
1015.0,834,11787,1379,1996
1194.0,680,12003,774,2009
0.0,532,9135,1536,2002
0.0,200,8212,864,1914
0.0,546,12692,3200,1992
631.0,670,12822,1434,2003
1320.0,864,11700,1240,1880
0.0,530,10400,1304,1970
1060.0,878,10240,1030,2005
0.0,360,8281,864,1965
800.0,530,11075,784,1969
,480,9672,1040,1984
512.0,528,12354,684,1920
668.0,451,13650,1052,1958
0.0,576,13101,1728,1965
903.0,577,9473,1128,2002
0.0,297,9000,1196,1956
0.0,360,5000,720,1941
840.0,462,10793,780,1969
0.0,1134,20896,2077,2005
0.0,617,7820,1869,2007
930.0,431,11214,930,1998
0.0,308,9000,480,1949
0.0,516,10791,0,1967
0.0,288,8877,816,1938
,478,11880,1271,1978
830.0,451,10261,936,2000
1168.0,796,14541,1338,1993
0.0,796,8163,1144,1959
1611.0,621,9842,612,1921
605.0,312,6435,972,1939
0.0,624,8480,970,1963
0.0,513,215245,2136,1965
,440,7930,1026,1969
0.0,0,9405,698,1947
0.0,576,70761,1533,1975
0.0,660,12358,720,1941
0.0,530,4282,1391,2004
0.0,240,9717,1078,1950
0.0,471,6853,1267,2001
0.0,301,9750,1442,1958
940.0,0,8525,940,1911
0.0,644,9541,1502,2009
0.0,458,11900,1392,1957
0.0,0,10778,1768,1968
0.0,390,36500,1624,1964
0.0,301,12772,958,1960
0.0,600,7200,894,1972
0.0,402,4500,1224,1999
590.0,846,12474,1682,2007
0.0,430,3182,1256,2004
0.0,712,15306,1732,2006
728.0,390,8461,728,2005
0.0,539,8910,655,1959
0.0,240,8923,1008,1953
0.0,430,3182,1373,2005
892.0,180,13132,747,1914
0.0,280,7449,637,1930
640.0,400,9735,384,2006
734.0,496,10421,980,1988
0.0,294,8339,0,1959
0.0,0,5350,728,1940
591.0,288,10762,626,1980
0.0,299,8775,990,1994
1320.0,691,13418,1117,2004
0.0,420,4435,848,2003
672.0,300,6629,672,1925
0.0,676,7862,1218,2009
748.0,672,11526,588,1922
0.0,550,3316,1247,2005
1330.0,619,12227,1330,1977
0.0,482,5587,1600,2008
0.0,546,11751,1844,1977
858.0,689,9675,1113,2005
793.0,463,8123,982,2000
887.0,574,9938,1050,1993
0.0,0,1491,630,1972
0.0,530,12803,1494,2002
,0,5925,600,1910
0.0,508,8814,1274,2005
0.0,364,9600,1156,1955
0.0,528,8197,660,1977
702.0,393,7875,783,2003
793.0,550,12384,793,1976
0.0,0,11841,816,1990
0.0,555,10083,1176,2003
,548,8172,941,1954
0.0,528,31770,1080,1960
0.0,240,9022,768,1924
0.0,818,12030,1694,2007
0.0,765,14331,1800,2002
915.0,560,13600,662,1900
678.0,315,10496,1040,1949
0.0,576,10970,940,1978
0.0,408,7162,876,1966
0.0,484,17400,1126,1977
1332.0,872,12099,1136,2004
0.0,540,21453,938,1969
0.0,288,8400,1052,1968
524.0,0,9600,572,1924
0.0,484,13072,1141,2005
778.0,484,10400,732,1972
848.0,660,9066,1004,1999
0.0,0,6780,520,1935
720.0,513,4571,624,1916
0.0,576,19900,1947,1970
1051.0,360,45600,907,1908
1540.0,831,8963,1142,1976
0.0,484,7052,1364,2005
0.0,402,7875,1237,1995
0.0,528,9790,1328,1963
0.0,286,12342,978,1960
800.0,486,13600,768,1965
0.0,192,8854,952,1916
0.0,500,10182,1660,2006
0.0,1166,17423,2216,2008
0.0,160,6292,768,1930
0.0,396,8899,1340,2007
0.0,480,10603,1610,1977
1259.0,600,18890,1361,1977
0.0,438,3010,1248,2005
0.0,288,6768,912,1961
,472,9042,943,1998
0.0,1356,32463,1249,1961
884.0,180,7259,1028,1945
0.0,456,7875,1144,1961
672.0,281,4500,793,1932
0.0,472,10004,1516,1964
0.0,675,8990,1498,2006
1157.0,560,12209,804,2001
728.0,440,11103,728,2006
1196.0,349,24090,1032,1940
0.0,708,12378,1896,2003
0.0,474,6955,1368,2005
908.0,588,9179,873,1999
1237.0,858,14948,1452,2008
551.0,312,21286,720,1948
,604,10400,1845,1988
900.0,577,5062,1190,1984
914.0,546,9531,794,1998
0.0,436,8993,1302,2007
0.0,542,9600,2524,1981
534.0,338,5400,840,1920
862.0,474,2268,764,2003
299.0,240,10134,735,1940
,588,12677,1518,2003
592.0,240,7758,1040,1931
0.0,598,12137,1649,1998
895.0,432,11275,854,1932
650.0,324,9000,650,1920
0.0,564,6563,1742,1985
564.0,280,8248,686,1918
0.0,528,6240,816,1934
988.0,506,10041,908,1992
403.0,240,8400,940,1940
0.0,377,9600,992,1955
1103.0,552,8004,832,2009
0.0,534,9742,1777,2002
1081.0,434,8200,847,2003
0.0,336,11553,1051,1968
601.0,440,2280,855,1978
817.0,431,15660,798,1939
0.0,880,11443,1868,2005
0.0,665,15498,1565,1976
860.0,663,7500,814,2000
0.0,0,10712,974,1991
898.0,586,11367,1065,2002
1017.0,678,11228,1080,1993
0.0,500,11851,1424,1990
,720,10800,1120,1920
687.0,240,9120,1026,1925
741.0,583,10448,689,1972
1312.0,666,12438,1234,2006
240.0,0,6342,780,1875
679.0,779,9600,1095,1900
0.0,0,10020,683,1922
709.0,490,2651,673,2000
1518.0,840,22950,1107,1892
1032.0,205,9900,1008,1880
766.0,373,10364,806,1995
0.0,739,115149,1643,1971
0.0,304,8450,1056,1968
272.0,392,9738,784,1924
0.0,504,10197,1362,1961
0.0,420,4426,848,2004
0.0,527,8529,1454,2001
,628,6762,1208,2007
370.0,566,10800,796,1936
0.0,691,14303,1986,1994
1093.0,983,10542,1311,1993
0.0,626,5063,1314,2007
739.0,380,2522,970,2004
546.0,0,1680,672,1971
1440.0,0,10896,1440,1914
0.0,0,10800,1200,1987
0.0,297,7535,912,1958
1872.0,832,21535,2444,1994
854.0,548,8450,856,2003
1140.0,656,11999,1181,2003
704.0,234,12000,704,1941
0.0,528,17755,1466,1959
0.0,292,11600,1383,1960
0.0,410,7018,0,1979
0.0,576,13568,990,1995
728.0,240,7128,918,1941
1020.0,440,9142,1020,1910
685.0,550,11584,539,1979
743.0,541,10678,1683,1992
1020.0,576,11075,952,1969
567.0,240,6000,672,1936
600.0,480,3180,600,2005
672.0,468,10690,672,1920
828.0,500,11317,840,2003
0.0,400,8544,0,1950
0.0,576,7200,900,1951
0.0,812,8100,1559,1948
0.0,248,10215,864,1954
,264,8012,923,1980
0.0,782,10084,1552,2005
,642,9550,756,1915
0.0,440,10335,1461,1968
504.0,264,1680,483,1973
0.0,521,11249,1200,1995
568.0,281,11409,768,1949
0.0,336,8450,894,1965
0.0,336,21750,0,1960
0.0,528,10625,1053,1974
0.0,576,9830,1063,1959
0.0,459,11235,1051,1963
1306.0,721,9950,1203,1995
0.0,297,12400,1215,1958
1323.0,844,10120,1165,1994
600.0,480,3182,600,2004
0.0,560,9297,1728,1976
808.0,480,10300,576,1921
985.0,870,9452,1396,1997
730.0,457,9453,996,1993
843.0,562,8125,813,2007
1414.0,792,9965,1264,2007
0.0,528,9000,864,1971
0.0,234,9340,672,1941
0.0,564,11777,1164,1966
,440,4928,1078,1976
0.0,550,12118,1710,2004
0.0,502,9350,1219,1965
0.0,400,3196,1273,2003
472.0,576,6120,927,1936
0.0,766,11070,1907,1988
0.0,0,6000,1008,1926
0.0,0,8335,0,1954
983.0,484,10382,1107,1973
0.0,461,9170,1214,1965
0.0,454,17920,1763,1955
0.0,808,14536,1616,2002
0.0,627,4590,1554,2006
1243.0,642,13006,964,1997
0.0,0,3636,796,1922
840.0,308,15576,840,1915
0.0,420,4435,848,2003
0.0,528,4224,1142,1976
0.0,564,13500,1602,1960
0.0,564,8849,1684,2005
0.0,888,10386,2000,2004
0.0,834,8688,1616,2005
573.0,531,11885,1299,2001
534.0,225,6240,1042,1928
807.0,575,11287,807,1989
0.0,276,7200,876,1950
0.0,620,10994,1844,2005
0.0,528,11040,1258,1971
0.0,500,14963,1260,1996
0.0,866,11428,1626,2006
,440,2308,855,1974
707.0,403,9056,707,2004
0.0,478,11883,1504,1996
0.0,690,14859,1670,2006
651.0,518,17542,1192,1974
0.0,440,4043,1069,1977
0.0,525,3675,547,2005
0.0,995,35133,1572,1963
561.0,456,8820,1088,1890
0.0,0,5500,882,1956
0.0,676,14157,1922,2005
0.0,352,7200,780,1972
580.0,300,13825,533,1958
0.0,430,16158,1530,2005
0.0,0,8780,833,1985
504.0,308,6000,649,1948
0.0,260,6897,1040,1962
1362.0,1052,9965,1466,2006
220.0,288,9600,1032,1950
0.0,305,7500,1246,1959
0.0,180,6000,884,1926
686.0,416,10800,686,1915
0.0,288,12144,832,1949
741.0,342,7558,896,1928
,484,6371,1358,2009
0.0,484,12155,1657,1970
0.0,275,10267,816,1918
1038.0,390,8755,992,1999
862.0,474,2448,764,2003
689.0,299,9364,663,1969
408.0,240,9492,768,1941
811.0,240,11988,715,1934
796.0,432,8499,616,2006
713.0,216,10320,756,1906
656.0,400,9967,384,2000
0.0,495,10452,1094,1953
0.0,758,11302,1814,2005
252.0,576,8064,672,1949
0.0,528,6820,1488,1985
1072.0,603,12798,616,1997
0.0,572,7200,1262,2006
0.0,788,11670,1905,2006
878.0,541,11404,1153,1998
0.0,478,10140,1064,1974
888.0,613,9548,941,2003
0.0,300,7800,828,1965
252.0,280,12180,672,1941
1208.0,905,9240,1055,2001
872.0,540,13728,1127,1935
0.0,528,9600,1242,1973
584.0,240,6120,884,1935
1151.0,434,9505,884,2001
0.0,516,11120,1232,1984
866.0,483,10480,803,1976
348.0,0,8800,576,1910
0.0,450,9764,894,1967
1142.0,619,11029,1054,1968
0.0,396,7200,768,1972
,0,6240,0,1947
1040.0,504,11606,1040,1969
0.0,576,12464,1040,1996
467.0,216,5400,1149,1926
0.0,273,10800,641,1885
0.0,484,13125,1134,1957
0.0,528,7227,832,1954
0.0,384,7094,894,1966
596.0,189,6402,596,1920
0.0,772,16033,1833,2004
0.0,288,7800,864,1967
0.0,264,9477,864,1966
1031.0,506,7200,1214,1910
1063.0,360,8100,849,1898
678.0,470,10839,926,1997
1134.0,422,23257,868,2006
0.0,308,9200,938,1975
514.0,216,7642,912,1918
992.0,400,11345,928,1948
0.0,260,7390,1098,1955
0.0,0,4130,270,1935
0.0,528,10721,1252,1959
0.0,792,8944,1584,1967
0.0,592,14587,1498,2008
0.0,506,5119,1698,1999
0.0,299,14850,1092,1957
0.0,758,14892,1746,2006
983.0,667,15593,1304,1953
0.0,200,10594,768,1926
0.0,270,9600,1041,1959
915.0,431,14191,967,2002
1257.0,390,8068,1010,2002
0.0,180,6120,715,1931
0.0,364,8562,1216,1957
0.0,714,9819,1567,1977
1088.0,1020,13891,1734,2008
689.0,360,9600,689,1928
457.0,368,12513,715,1920
896.0,521,10029,1151,1988
0.0,286,9000,936,1954
880.0,440,8244,840,2004
0.0,338,9600,1050,1956
0.0,576,13695,1114,2003
,750,8973,1008,1958
0.0,682,4923,1593,2001
,318,10355,1214,1967
0.0,264,6600,816,1982
0.0,400,7018,0,1979
1360.0,795,25419,1360,1918
840.0,685,15611,1079,2006
0.0,672,10859,1097,1994
767.0,423,12508,983,1940
504.0,288,1680,483,1972
0.0,576,10530,981,1971
0.0,447,10552,1398,1959
0.0,308,7100,816,1957
896.0,622,12420,944,2001
1230.0,576,3964,942,1973
0.0,902,8750,1002,1970
,294,8400,721,1950
0.0,564,9069,936,1992
0.0,856,9591,1713,2004
0.0,576,11457,1392,1988
0.0,923,7407,912,1957
0.0,648,25286,1064,1963
0.0,608,5389,1595,1995
0.0,601,11029,1184,1958
975.0,576,7399,975,1997
0.0,490,10200,1086,1954
504.0,528,21384,1324,1923
0.0,624,7244,768,1970
0.0,676,9360,1161,1972
885.0,647,9375,1284,2002
,287,6627,0,1949
1208.0,520,10440,1510,1920
0.0,576,6000,936,1953
0.0,588,10012,1138,1972
0.0,954,9849,1689,2007
0.0,280,8190,948,1954
756.0,440,2117,756,2000
0.0,450,8724,894,1968
